s_name o_name
17543_3705_x9619_y20864 9616_20861_3699
17543_3828_x6023_y17044 6021_17042_3821
17543_3842_x7369_y3542 7365_3539_3838
17543_4868_x6727_y21047 6726_21047_4860
17543_4926_x5833_y20277 5832_20275_4924
pre_182712_00003 20142_26708_3890
pre_182712_00004 20150_25423_3806
pre_182712_00027 21464_11812_4395
236174_2657_x11930_y12250 11933_12256_2638
236174_2669_x10674_y13239 10678_13249_2644
236174_2801_x11376_y11451 11361_11441_2791
236174_3001_x12887_y24248 12886_24244_2971
236174_3029_x12820_y24699 12822_24699_3043
236174_3215_x11999_y11133 12003_11131_3212
236174_3229_x11884_y10380 11894_10382_3350
236174_3229_x12413_y11831 12427_11835_3273
236174_3329_x13938_y26099 13938_26099_3318
236174_3429_x12632_y10625 12632_10623_3453
236174_3447_x12562_y10626 12581_10638_3424
236174_3529_x12805_y10541 12809_10544_3523
236174_3529_x13394_y26567 13399_26575_3561
236174_3529_x13688_y26111 13699_26116_3532
236174_3729_x12692_y9419 12693_9421_3770
236174_3729_x15151_y26698 15152_26700_3781
236174_3829_x13590_y9284 13593_9288_3860
236174_3829_x14826_y27255 14833_27261_3867
236174_3829_x16301_y26647 16305_26645_3877
236174_3893_x17507_y26071 17507_26065_3869
236174_3929_x12721_y8845 12716_8849_3968
236174_3929_x13599_y9165 13600_9163_3929
236174_3970_x13439_y8678 13439_8679_4070
236174_4029_x13079_y8858 13081_8855_4028
236174_4129_x16214_y10304 16214_10304_4114
236174_4229_x13663_y8589 13663_8591_4210
236174_4266_x13848_y8550 13859_8557_4264
236174_4429_x13147_y8003 13148_8003_4486
236174_4647_x16405_y27845 16417_27851_4662
236174_4729_x16869_y27809 16870_27810_4750
236174_5138_x16501_y28259 16504_28262_5124
236174_5338_x13590_y7348 13593_7350_5368
236174_5670_x14073_y29439 14074_29437_5789
236174_5738_x11712_y6818 11716_6821_5736
236174_5840_x15240_y29741 15241_29743_5953
236174_6338_x12092_y5845 12104_5844_6357
236174_6338_x12496_y6617 12523_6620_6375
236174_6855_x15550_y29832 15535_29852_6835
236174_7077_x14579_y30892 14579_30906_7054
18047_00047 16062_14809_2440
18047_2622_x11862_y12983 11857_12982_2621
18047_3132_x24052_y12385 24055_12391_3134
18047_4141_x14168_y9063 14170_9068_4135
18047_4458_x18853_y10785 18856_10789_4456
18047_5719_x25513_y7957 25516_7955_5714
pre_18047_00009 10058_12668_3177
pre_18866_00139 21512_6704_7388
pre_18866_00186 21856_7147_7451
pre_18866_00299 22955_8975_7245
18457_00001 12540_8941_3804
18457_00002 12679_8391_4265
18457_00003 12805_8786_4289
